他, number_of_appearances:3630
身后, number_of_appearances:42
各个, number_of_appearances:8
伸长, number_of_appearances:5
脖子, number_of_appearances:19
清楚, number_of_appearances:47
害怕, number_of_appearances:68
举止, number_of_appearances:2
一点, number_of_appearances:48
不同, number_of_appearances:22
悬崖, number_of_appearances:62
扔, number_of_appearances:24
说明, number_of_appearances:9
疯子, number_of_appearances:7
脸色, number_of_appearances:3
发白, number_of_appearances:2
算了, number_of_appearances:13
揉, number_of_appearances:35
没办法, number_of_appearances:2
谈, number_of_appearances:12
我们, number_of_appearances:673
这儿, number_of_appearances:59
杀死, number_of_appearances:31
保证, number_of_appearances:13
丢, number_of_appearances:6
小命, number_of_appearances:2
争取, number_of_appearances:4
活下去, number_of_appearances:4
无论, number_of_appearances:23
顿, number_of_appearances:28
更加, number_of_appearances:22
捋, number_of_appearances:3
头上, number_of_appearances:4
长叹, number_of_appearances:2
对此, number_of_appearances:9
不在, number_of_appearances:9
自从, number_of_appearances:18
尼克, number_of_appearances:1
死后, number_of_appearances:2
第, number_of_appearances:52
瞪, number_of_appearances:17
前, number_of_appearances:61
开玩笑, number_of_appearances:13
拍, number_of_appearances:19
该死, number_of_appearances:22
腔调, number_of_appearances:3
里带, number_of_appearances:4
口音, number_of_appearances:1
没, number_of_appearances:203
听懂, number_of_appearances:4
就要, number_of_appearances:21
吓, number_of_appearances:25
心脏病, number_of_appearances:1
弯, number_of_appearances:30
下腰, number_of_appearances:14
纽, number_of_appearances:597
特, number_of_appearances:809
原谅, number_of_appearances:1
呆头呆脑, number_of_appearances:2
之至, number_of_appearances:1
伸手, number_of_appearances:20
握, number_of_appearances:14
友好, number_of_appearances:1
许多, number_of_appearances:9
个子, number_of_appearances:4
比高, number_of_appearances:1
小一, number_of_appearances:1
留, number_of_appearances:4
披, number_of_appearances:1
健硕, number_of_appearances:1
上青, number_of_appearances:3
筋, number_of_appearances:3
突起, number_of_appearances:1
闹, number_of_appearances:3
咕哝, number_of_appearances:4
至少, number_of_appearances:35
听, number_of_appearances:71
一半, number_of_appearances:16
的话, number_of_appearances:110
稀稀拉拉, number_of_appearances:2
笑声, number_of_appearances:9
聚, number_of_appearances:2
往前, number_of_appearances:16
挤, number_of_appearances:20
听听, number_of_appearances:2
些, number_of_appearances:62
摊开, number_of_appearances:5
手掌, number_of_appearances:7
称作, number_of_appearances:4
生活, number_of_appearances:44
吃饭, number_of_appearances:10
睡觉, number_of_appearances:23
就是, number_of_appearances:108
所有, number_of_appearances:85
送到, number_of_appearances:25
最终, number_of_appearances:24
让位, number_of_appearances:2
可是, number_of_appearances:58
等, number_of_appearances:57
说完, number_of_appearances:30
打断, number_of_appearances:24
站起来, number_of_appearances:15
无以, number_of_appearances:2
名状, number_of_appearances:2
边, number_of_appearances:74
比手, number_of_appearances:2
挣脱, number_of_appearances:4
开来, number_of_appearances:13
直面, number_of_appearances:2
相对, number_of_appearances:2
混蛋, number_of_appearances:12
尿, number_of_appearances:5
湿, number_of_appearances:7
当场, number_of_appearances:2
毙命, number_of_appearances:1
收尸, number_of_appearances:1
工会, number_of_appearances:1
拖走, number_of_appearances:2
没用, number_of_appearances:6
压根儿, number_of_appearances:1
话语, number_of_appearances:5
沉着, number_of_appearances:1
他自己, number_of_appearances:17
肩膀, number_of_appearances:20
等一等, number_of_appearances:4
伤害, number_of_appearances:9
松开, number_of_appearances:24
胸口, number_of_appearances:12
急促, number_of_appearances:4
呼吸, number_of_appearances:33
一起一伏, number_of_appearances:4
装, number_of_appearances:9
好人, number_of_appearances:1
结束, number_of_appearances:38
学会, number_of_appearances:2
规则, number_of_appearances:2
倾听, number_of_appearances:3
聒噪, number_of_appearances:1
期望, number_of_appearances:8
得到, number_of_appearances:43
翻涌, number_of_appearances:2
快要, number_of_appearances:4
淌下, number_of_appearances:2
烧灼, number_of_appearances:1
点点头, number_of_appearances:52
新手, number_of_appearances:1
恨不得, number_of_appearances:9
找, number_of_appearances:33
痛打, number_of_appearances:2
只是, number_of_appearances:111
是的, number_of_appearances:35
很好, number_of_appearances:11
一天, number_of_appearances:56
来说, number_of_appearances:35
今天, number_of_appearances:27
天黑, number_of_appearances:2
行者, number_of_appearances:107
传送, number_of_appearances:44
箱, number_of_appearances:59
晚, number_of_appearances:11
一早, number_of_appearances:3
醒来, number_of_appearances:16
之后, number_of_appearances:97
扭头, number_of_appearances:11
张, number_of_appearances:31
床, number_of_appearances:10
睡, number_of_appearances:32
觉, number_of_appearances:5
眯缝, number_of_appearances:4
星期, number_of_appearances:9
乐于助人, number_of_appearances:1
的时候, number_of_appearances:105
中间, number_of_appearances:38
挤过, number_of_appearances:2
大多数, number_of_appearances:15
离开, number_of_appearances:54
投, number_of_appearances:11
若有所思, number_of_appearances:6
空虚, number_of_appearances:3
吞噬, number_of_appearances:4
立刻, number_of_appearances:25
便, number_of_appearances:43
悲哀, number_of_appearances:1
替代, number_of_appearances:2
深深, number_of_appearances:22
超出, number_of_appearances:5
哪里, number_of_appearances:19
监狱, number_of_appearances:16
那样, number_of_appearances:26
待, number_of_appearances:32
多久, number_of_appearances:19
人语, number_of_appearances:1
言, number_of_appearances:4
而且, number_of_appearances:28
介意, number_of_appearances:1
死, number_of_appearances:98
活, number_of_appearances:28
差一点儿, number_of_appearances:7
盈满, number_of_appearances:1
忍, number_of_appearances:5
不让, number_of_appearances:10
流淌, number_of_appearances:2
低声, number_of_appearances:22
并不, number_of_appearances:25
听见, number_of_appearances:44
送, number_of_appearances:17
里来, number_of_appearances:20
拍拍, number_of_appearances:5
肩头, number_of_appearances:6
现在, number_of_appearances:165
感受, number_of_appearances:19
曾, number_of_appearances:9
体会, number_of_appearances:1
那个, number_of_appearances:121
黑箱子, number_of_appearances:1
出来, number_of_appearances:92
糟, number_of_appearances:18
的确如此, number_of_appearances:4
变得, number_of_appearances:63
事实, number_of_appearances:32
段, number_of_appearances:18
过后, number_of_appearances:18
真, number_of_appearances:42
相与, number_of_appearances:1
正义, number_of_appearances:1
奋斗, number_of_appearances:2
看得出, number_of_appearances:4
可恶, number_of_appearances:9
胆小鬼, number_of_appearances:3
试图, number_of_appearances:27
找到, number_of_appearances:62
突破口, number_of_appearances:1
四, number_of_appearances:18
问题, number_of_appearances:82
满意, number_of_appearances:5
答案, number_of_appearances:46
无论如何, number_of_appearances:9
不行, number_of_appearances:14
最好, number_of_appearances:25
改变, number_of_appearances:22
到来, number_of_appearances:11
低下, number_of_appearances:5
盯, number_of_appearances:25
开裂, number_of_appearances:1
一排, number_of_appearances:7
小叶, number_of_appearances:1
顺着, number_of_appearances:4
生长, number_of_appearances:2
黄色, number_of_appearances:3
小花, number_of_appearances:1
石缝, number_of_appearances:3
出头, number_of_appearances:3
消失, number_of_appearances:67
内, number_of_appearances:14
阳光, number_of_appearances:7
查克, number_of_appearances:345
比较, number_of_appearances:16
适合, number_of_appearances:3
有点儿, number_of_appearances:7
胖, number_of_appearances:2
论, number_of_appearances:1
做事, number_of_appearances:3
不错, number_of_appearances:13
小子, number_of_appearances:6
马上, number_of_appearances:25
话音, number_of_appearances:3
落, number_of_appearances:17
划破, number_of_appearances:2
长空, number_of_appearances:1
叫声, number_of_appearances:6
高亢, number_of_appearances:2
尖厉, number_of_appearances:5
几乎不, number_of_appearances:1
像是, number_of_appearances:39
在场, number_of_appearances:7
一齐, number_of_appearances:4
扭, number_of_appearances:8
过头, number_of_appearances:7
血液, number_of_appearances:3
冰冻, number_of_appearances:2
污泥, number_of_appearances:2
连, number_of_appearances:39
蹦, number_of_appearances:6
大吃, number_of_appearances:3
惊, number_of_appearances:10
皱, number_of_appearances:13
透露, number_of_appearances:10
不安, number_of_appearances:16
难道, number_of_appearances:19
医护, number_of_appearances:12
工, number_of_appearances:24
十分钟, number_of_appearances:8
对付, number_of_appearances:5
不了, number_of_appearances:9
离不开, number_of_appearances:1
我的, number_of_appearances:62
摇摇头, number_of_appearances:28
轻轻, number_of_appearances:12
踢, number_of_appearances:18
由, number_of_appearances:7
负责, number_of_appearances:16
安排, number_of_appearances:9
住宿, number_of_appearances:1
接着, number_of_appearances:64
地上, number_of_appearances:64
靠, number_of_appearances:34
树上, number_of_appearances:3
梦境, number_of_appearances:3
坐, number_of_appearances:45
一会儿, number_of_appearances:27
太, number_of_appearances:65
压力, number_of_appearances:7
动弹, number_of_appearances:3
终于, number_of_appearances:63
屋子, number_of_appearances:14
外, number_of_appearances:36
踱来踱去, number_of_appearances:4
焦急, number_of_appearances:2
楼上, number_of_appearances:9
窗户, number_of_appearances:47
野兽, number_of_appearances:4
碎裂, number_of_appearances:4
玻璃, number_of_appearances:20
一跃, number_of_appearances:3
而出, number_of_appearances:2
树枝, number_of_appearances:9
敲击声, number_of_appearances:1
引起, number_of_appearances:11
注意, number_of_appearances:37
抬起, number_of_appearances:37
银色, number_of_appearances:9
红色, number_of_appearances:11
光, number_of_appearances:21
吸引, number_of_appearances:6
视线, number_of_appearances:14
树干, number_of_appearances:3
一侧, number_of_appearances:5
光秃秃, number_of_appearances:1
棕色, number_of_appearances:5
活生生, number_of_appearances:1
白骨, number_of_appearances:1
向外, number_of_appearances:10
刀锋, number_of_appearances:24
甲虫, number_of_appearances:25
右, number_of_appearances:21
不远, number_of_appearances:3
方正, number_of_appearances:1
矮胖, number_of_appearances:1
很小, number_of_appearances:8
或, number_of_appearances:15
许是, number_of_appearances:24
目前, number_of_appearances:7
最小, number_of_appearances:1
约莫, number_of_appearances:3
十二, number_of_appearances:4
三, number_of_appearances:32
垂, number_of_appearances:5
